64: vertex_id[2837] = { stop( Mezhdunarodnoye sh 40 ), bus( 55k), pos( 12 ) }
65: vertex_id[2646] = { stop( Mezhdunarodnoye sh 40 ), bus( 45k), pos( 37 ) }
66: vertex_id[1488] = { stop( Mezhdunarodnoye sh 40 ), bus( 31k), pos( 39 ) }
67: vertex_id[1994] = { stop( Mezhdunarodnoye sh 40 ), bus( 7k), pos( 35 ) }
68: vertex_id[2280] = { stop( Mezhdunarodnoye sh 40 ), bus( 33k), pos( 32 ) }
69: vertex_id[2464] = { stop( Mezhdunarodnoye sh 40 ), bus( 35), pos( 31 ) }
70: vertex_id[2903] = { stop( Leningradskiy pr 100 ), bus( 51k), pos( 34 ) }
71: vertex_id[2938] = { stop( Leningradskiy pr 100 ), bus( 53k), pos( 27 ) }
72: vertex_id[332] = { stop( Leningradskiy pr 100 ), bus( 95), pos( 37 ) }
73: vertex_id[495] = { stop( Leningradskiy pr 100 ), bus( 75k), pos( 35 ) }
74: vertex_id[679] = { stop( Leningradskiy pr 100 ), bus( 65k), pos( 36 ) }
75: vertex_id[2817] = { stop( Leningradskiy pr 100 ), bus( 59), pos( 39 ) }
76: vertex_id[727] = { stop( Leningradskiy pr 100 ), bus( 63), pos( 36 ) }
77: vertex_id[1861] = { stop( Leningradskiy pr 100 ), bus( 61k), pos( 25 ) }
78: vertex_id[1578] = { stop( Leningradskiy pr 100 ), bus( 41), pos( 34 ) }
79: vertex_id[1231] = { stop( Leningradskiy pr 100 ), bus( 3k), pos( 39 ) }
80: vertex_id[1711] = { stop( Leningradskiy pr 100 ), bus( 17), pos( 32 ) }
81: vertex_id[1989] = { stop( Leningradskiy pr 100 ), bus( 7k), pos( 30 ) }
82: vertex_id[2601] = { stop( Leningradskiy pr 100 ), bus( 15), pos( 18 ) }
83: vertex_id[2504] = { stop( Leningradskiy pr 100 ), bus( 37k), pos( 34 ) }
84: vertex_id[2640] = { stop( Leningradskiy pr 100 ), bus( 45k), pos( 31 ) }
85: vertex_id[2897] = { stop( Leningradskiy pr 40 ), bus( 51k), pos( 28 ) }
86: vertex_id[2811] = { stop( Leningradskiy pr 40 ), bus( 59), pos( 33 ) }
87: vertex_id[328] = { stop( Leningradskiy pr 40 ), bus( 95), pos( 33 ) }
88: vertex_id[490] = { stop( Leningradskiy pr 40 ), bus( 75k), pos( 30 ) }
